lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
alto;alto;alto;5885;alto;superior;superior;alto;A2;5;2;Hombre;medio
alto;medio;medio;5886;medio;medio;medio;alto;A1;5;3;Hombre;medio
alto;alto;alto;5887;alto;alto;medio;alto;B1;5;4;Mujer;medio
alto;alto;medio;5888;medio;medio;alto;medio;B1;5;6;Hombre;medio
medio;medio;medio;5889;medio;medio;medio;medio;A-;5;3;Hombre;medio
alto;alto;medio;5890;medio;alto;alto;medio;A1;5;3;Hombre;medio
medio;alto;alto;5891;medio;medio;medio;medio;A-;2;2;Hombre;medio
alto;medio;medio;5892;medio;medio;medio;medio;A-;2;2;Hombre;medio
alto;alto;alto;5893;alto;alto;alto;alto;A2;5;4;Hombre;medio
alto;alto;alto;5894;alto;alto;medio;alto;A2;5;3;Mujer;medio
alto;medio;medio;5895;alto;medio;medio;medio;A1;5;3;Hombre;medio
alto;alto;alto;5896;alto;alto;alto;alto;A1;5;3;Hombre;medio
alto;alto;medio;5897;alto;alto;alto;medio;A1;1;2;Hombre;medio
alto;alto;alto;5898;medio;alto;alto;alto;A2;5;5;Hombre;medio
medio;medio;medio;5899;medio;medio;medio;medio;A1;2;2;Hombre;medio
alto;medio;medio;5900;alto;medio;medio;alto;A2;5;4;Hombre;medio
alto;medio;alto;5901;alto;medio;medio;medio;A1;5;2;Hombre;medio
medio;alto;medio;5902;medio;alto;medio;medio;B1;2;2;Hombre;medio
medio;alto;medio;5903;medio;medio;medio;alto;A1;5;3;Mujer;medio
alto;alto;alto;5904;medio;alto;alto;alto;A1;5;6;Mujer;medio
alto;superior;medio;5905;alto;medio;alto;alto;A1;5;3;Hombre;medio
medio;medio;medio;5906;medio;medio;alto;medio;A1;5;2;Hombre;medio
alto;alto;alto;5907;medio;alto;alto;alto;A1;2;2;Hombre;medio
alto;medio;medio;5908;medio;medio;alto;alto;A1;5;1;Hombre;medio
alto;alto;alto;5909;alto;alto;alto;alto;A1;1;2;Hombre;medio
medio;alto;medio;5910;medio;alto;alto;alto;A2;1;1;Hombre;medio
medio;alto;alto;5911;medio;alto;alto;alto;A1;5;2;Hombre;medio
alto;alto;alto;5912;alto;alto;alto;alto;B1;5;2;Hombre;medio
medio;medio;medio;5913;medio;medio;medio;medio;A1;5;3;Hombre;medio
alto;alto;alto;5914;medio;alto;alto;medio;A1;2;2;Hombre;medio
alto;alto;alto;5915;medio;medio;alto;medio;A1;5;1;Mujer;medio
alto;alto;medio;5916;medio;alto;alto;medio;A1;2;2;Hombre;medio
alto;alto;alto;5917;medio;alto;alto;alto;B1;5;3;Hombre;medio
medio;medio;medio;5918;medio;alto;medio;medio;A-;5;3;Mujer;medio
alto;alto;alto;5919;medio;medio;alto;alto;B1;2;2;Hombre;medio
medio;alto;medio;5920;alto;medio;medio;medio;A-;5;2;Hombre;medio
medio;medio;medio;5921;medio;medio;medio;medio;A1;5;3;Hombre;medio
alto;medio;alto;5922;medio;alto;medio;medio;A-;5;2;Hombre;medio
alto;alto;alto;5923;medio;alto;alto;alto;A2;3;3;Hombre;medio
alto;alto;medio;5924;alto;alto;superior;superior;A2;5;2;Hombre;medio
medio;alto;alto;5925;medio;alto;alto;medio;A2;5;2;Mujer;medio
alto;medio;alto;5926;alto;alto;medio;alto;A-;2;2;Hombre;medio
medio;alto;alto;5927;alto;alto;alto;alto;A1;5;2;Hombre;medio
alto;alto;alto;5928;medio;alto;medio;alto;A1;2;2;Hombre;medio
alto;medio;alto;5929;medio;medio;medio;medio;A1;2;2;Hombre;medio
alto;medio;alto;5930;alto;medio;medio;medio;A1;1;1;Hombre;medio
alto;alto;medio;5931;medio;medio;alto;medio;B1;5;5;Hombre;medio
alto;alto;medio;5932;alto;medio;medio;medio;A-;5;2;Hombre;medio
alto;alto;alto;5933;medio;alto;alto;alto;A1;5;4;Hombre;medio
medio;alto;medio;5934;medio;alto;alto;alto;A1;5;3;Mujer;medio
alto;alto;alto;5935;medio;alto;alto;medio;B1;5;2;Hombre;medio
medio;medio;medio;5936;medio;medio;alto;alto;A2;1;1;Hombre;medio
alto;alto;alto;5937;alto;alto;alto;alto;A1;5;3;Mujer;medio
alto;alto;alto;5938;alto;alto;alto;alto;A1;5;3;Hombre;medio
alto;medio;medio;5939;medio;medio;medio;alto;A1;5;4;Hombre;medio
alto;alto;medio;5940;medio;alto;medio;medio;A1;1;1;Hombre;medio
alto;medio;alto;5941;medio;medio;medio;medio;A1;2;2;Hombre;medio
medio;medio;medio;5942;alto;medio;alto;alto;A1;2;2;Mujer;medio
alto;superior;alto;5943;alto;alto;alto;alto;B1;5;3;Mujer;medio
alto;alto;alto;5944;alto;alto;alto;alto;B1;1;1;Hombre;medio
medio;alto;alto;5945;alto;medio;alto;medio;B+;5;5;Hombre;medio
alto;alto;alto;5946;alto;alto;alto;alto;A1;2;2;Hombre;medio
medio;medio;medio;5947;medio;medio;medio;medio;A1;5;1;Hombre;medio
alto;superior;alto;5948;medio;alto;alto;alto;A2;5;3;Hombre;medio
medio;alto;alto;5949;alto;alto;alto;alto;A1;2;2;Hombre;medio
medio;alto;alto;5950;medio;alto;alto;alto;A1;5;3;Hombre;medio
